company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO02,Strong 5-year profit growth,78.39
ABB,pro,PRO03,Healthy return on equity,91.2
ABB,pro,PRO04,Healthy operating margin,79.76
ABB,pro,PRO05,Healthy net profit margin,80.8
ABB,pro,PRO06,Strong interest coverage,95
ABB,pro,PRO07,Conservative debt-to-equity profile,79.33
ABB,pro,PRO08,Positive free cash flow,80
ABB,pro,PRO09,Positive operating cash flow,80
ABB,pro,PRO10,Positive long-term EPS growth,88.32
ABB,pro,PRO12,Reasonable asset utilization,87.53
ABB,con,CON11,Low composite quality score,76.86
ADANIENSOL,pro,PRO01,Strong 5-year revenue growth,70.7
ADANIENSOL,pro,PRO02,Strong 5-year profit growth,67.86
ADANIENSOL,pro,PRO04,Healthy operating margin,94.08
ADANIENSOL,pro,PRO08,Positive free cash flow,80
ADANIENSOL,pro,PRO09,Positive operating cash flow,80
ADANIENSOL,pro,PRO10,Positive long-term EPS growth,74.74
ADANIENSOL,con,CON03,Low return on equity,66.08
ADANIENSOL,con,CON07,High debt-to-equity profile,84.33
ADANIENSOL,con,CON11,Low composite quality score,92.89
ADANIENSOL,con,CON12,Low asset utilization,66.63
ADANIENT,pro,PRO01,Strong 5-year revenue growth,73.03
ADANIENT,pro,PRO02,Strong 5-year profit growth,95
ADANIENT,pro,PRO09,Positive operating cash flow,80
ADANIENT,pro,PRO10,Positive long-term EPS growth,95
ADANIENT,pro,PRO12,Reasonable asset utilization,77.01
ADANIENT,con,CON03,Low return on equity,67.93
ADANIENT,con,CON05,Low net profit margin,69.62
ADANIENT,con,CON07,High debt-to-equity profile,71.71
ADANIENT,con,CON08,Negative free cash flow,85
ADANIENT,con,CON11,Low composite quality score,94.13
ADANIGREEN,pro,PRO01,Strong 5-year revenue growth,95
ADANIGREEN,pro,PRO04,Healthy operating margin,95
ADANIGREEN,pro,PRO05,Healthy net profit margin,70.5
ADANIGREEN,pro,PRO09,Positive operating cash flow,80
ADANIGREEN,con,CON06,Weak interest coverage,67.86
ADANIGREEN,con,CON07,High debt-to-equity profile,95
ADANIGREEN,con,CON08,Negative free cash flow,85
ADANIGREEN,con,CON11,Low composite quality score,90.9
ADANIGREEN,con,CON12,Low asset utilization,84.53
ADANIPORTS,pro,PRO01,Strong 5-year revenue growth,74.16
ADANIPORTS,pro,PRO03,Healthy return on equity,65.53
ADANIPORTS,pro,PRO04,Healthy operating margin,95
